,Sr. No.,Shift,Batch No.,Timestamp_Model Online,Planned Quantity,Model Online
,1,S1,B001,1/1/24 9:00,1,M001
,2,S1,B001,1/1/24 9:05,2,M001
,3,S1,B001,1/1/24 9:10,3,M001
,4,S1,B002,1/1/24 9:15,4,M002
,5,S1,B002,1/1/24 9:20,5,M002
,6,S1,B002,1/1/24 9:25,6,M002
,7,S1,B003,1/1/24 9:30,7,M003
,8,S1,B003,1/1/24 9:35,8,M003
,9,S1,B003,1/1/24 9:40,9,M003
,10,S1,B004,1/1/24 9:45,10,M001
,11,S1,B004,1/1/24 9:50,11,M001
,12,S1,B004,1/1/24 9:55,12,M001
,13,S1,B005,1/1/24 10:00,13,M002
,14,S1,B005,1/1/24 10:05,14,M002
,15,S1,B005,1/1/24 10:10,15,M002
,16,S1,B006,1/1/24 10:15,16,M003
,17,S1,B006,1/1/24 10:20,17,M003
,18,S1,B006,1/1/24 10:25,18,M003
,19,S1,B007,1/1/24 10:30,19,M001
,20,S1,B007,1/1/24 10:35,20,M001
,21,S1,B007,1/1/24 10:40,21,M001
,22,S1,B008,1/1/24 10:45,22,M002
,23,S1,B008,1/1/24 10:50,23,M002
,24,S1,B008,1/1/24 10:55,24,M002
,25,S1,B009,1/1/24 11:00,25,M003
,26,S1,B009,1/1/24 11:05,26,M003
,27,S1,B009,1/1/24 11:10,27,M003
,28,S1,B010,1/1/24 11:15,28,M001
,29,S1,B010,1/1/24 11:20,29,M001
,30,S1,B010,1/1/24 11:25,30,M001
,31,S1,B011,1/1/24 11:30,31,M002
,32,S1,B011,1/1/24 11:35,32,M002
,33,S1,B011,1/1/24 11:40,33,M002
,34,S1,B012,1/1/24 11:45,34,M003
,35,S1,B012,1/1/24 11:50,35,M003
,36,S1,B012,1/1/24 11:55,36,M003
,37,S1,B013,1/1/24 12:00,37,M001
,38,S1,B013,1/1/24 12:05,38,M001
,39,S1,B013,1/1/24 12:10,39,M001
,40,S1,B014,1/1/24 12:15,40,M002
,41,S1,B014,1/1/24 12:20,41,M002
,42,S1,B014,1/1/24 12:25,42,M002
,43,S1,B015,1/1/24 12:30,43,M003
,44,S1,B015,1/1/24 12:35,44,M003
,45,S1,B015,1/1/24 12:40,45,M003
,46,S1,B016,1/1/24 12:45,46,M001
,47,S1,B016,1/1/24 12:50,47,M001
,48,S1,B016,1/1/24 12:55,48,M001
,49,S1,B017,1/1/24 13:00,49,M002
,50,S1,B017,1/1/24 13:05,50,M002
,51,S1,B017,1/1/24 13:10,51,M002
,52,S1,B018,1/1/24 13:15,52,M003
,53,S1,B018,1/1/24 13:20,53,M003
,54,S1,B018,1/1/24 13:25,54,M003
,55,S1,B019,1/1/24 13:30,55,M001
,56,S1,B019,1/1/24 13:35,56,M001
,57,S1,B019,1/1/24 13:40,57,M001
,58,S1,B020,1/1/24 13:45,58,M002
,59,S1,B020,1/1/24 13:50,59,M002
,60,S1,B020,1/1/24 13:55,60,M002
,61,S1,B021,1/1/24 14:00,61,M003
,62,S1,B021,1/1/24 14:05,62,M003
,63,S1,B021,1/1/24 14:10,63,M003
,64,S1,B022,1/1/24 14:15,64,M001
,65,S1,B022,1/1/24 14:20,65,M001
,66,S1,B022,1/1/24 14:25,66,M001
,67,S1,B023,1/1/24 14:30,67,M002
,68,S1,B023,1/1/24 14:35,68,M002
,69,S1,B023,1/1/24 14:40,69,M002
,70,S1,B024,1/1/24 14:45,70,M003
,71,S1,B024,1/1/24 14:50,71,M003
,72,S1,B024,1/1/24 14:55,72,M003
,73,S1,B025,1/1/24 15:00,73,M001
,74,S1,B025,1/1/24 15:05,74,M001
,75,S1,B025,1/1/24 15:10,75,M001
,76,S1,B026,1/1/24 15:15,76,M002
,77,S1,B026,1/1/24 15:20,77,M002
,78,S1,B026,1/1/24 15:25,78,M002
,79,S1,B027,1/1/24 15:30,79,M003
,80,S1,B027,1/1/24 15:35,80,M003
,81,S1,B027,1/1/24 15:40,81,M003
,82,S1,B028,1/1/24 15:45,82,M001
,83,S1,B028,1/1/24 15:50,83,M001
,84,S1,B028,1/1/24 15:55,84,M001
,85,S1,B029,1/1/24 16:00,85,M002
,86,S1,B029,1/1/24 16:05,86,M002
,87,S1,B029,1/1/24 16:10,87,M002
,88,S1,B030,1/1/24 16:15,88,M003
,89,S1,B030,1/1/24 16:20,89,M003
,90,S1,B030,1/1/24 16:25,90,M003
,91,S1,B031,1/1/24 16:30,91,M001
,92,S1,B031,1/1/24 16:35,92,M001
,93,S1,B031,1/1/24 16:40,93,M001
,94,S1,B032,1/1/24 16:45,94,M002
,95,S1,B032,1/1/24 16:50,95,M002
,96,S1,B032,1/1/24 16:55,96,M002
,97,S1,B033,1/1/24 17:00,97,M003
,98,S1,B033,1/1/24 17:05,98,M003
,99,S1,B033,1/1/24 17:10,99,M003
,100,S1,B034,1/1/24 17:15,100,M001
,101,S1,B034,1/1/24 17:20,101,M001
,102,S1,B034,1/1/24 17:25,102,M001
,103,S1,B035,1/1/24 17:30,103,M002
,104,S1,B035,1/1/24 17:35,104,M002
,105,S1,B035,1/1/24 17:40,105,M002
,106,S1,B036,1/1/24 17:45,106,M003
,107,S1,B036,1/1/24 17:50,107,M003
,108,S1,B036,1/1/24 17:55,108,M003